id,name,price,roastery,country,process,product_url,description,blend,decaf,gesha,price_per_gram
36,★세일★ 콜롬비아 갈레라스 워시드,16900,알마씨엘로,콜롬비아,워시드,https://www.almacielo.com/shop/detail.php?pno=3A20F62A0AF1AA152670BAB3C602FEED&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,품종: CATURRA / CASTILLO / COLOMBIA,False,False,False,16.9
1392,마라와카 아라비카,16900,세웅지씨,파푸아뉴기니,,https://www.sewoonggc.com:443/shop/item.php?it_id=1769796072,,False,False,False,16.9
10,브라질 모지아나 돌체 내추럴 NY2 FC,16900,알마씨엘로,브라질,내추럴,https://www.almacielo.com/shop/detail.php?pno=F60BB6BB4C96D4DF93C51BD69DCC15A0&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,품종: RED CATUAI,False,False,False,16.9
301,브라질 술 데 미나스 내추럴 리브레 셀렉션,16900,커피리브레,브라질,내추럴 Natural,https://coffeelibre.kr/product/detail.html?product_no=7623&amp;cate_no=56&amp;display_group=1,"품종: 문도 노보, 카투아이 Mundo Novo, Catuai",False,False,False,16.9
1354,콜롬비아 산아구스틴 마운틴워터,16900,세웅지씨,콜롬비아,디카페인,https://www.sewoonggc.com:443/shop/item.php?it_id=1614339677,,False,False,False,16.9
793,탄자니아 킬리만자로 클래식 AA,16900,소펙스코리아,탄자니아,Washed,https://sopexkorea.com/product/detail.html?product_no=851,"품종: Bourbon, Kent",False,False,False,16.9
1443,26 에티오피아 안다라차 G2 워시드,16800,코빈즈커피,에티오피아,워시드,https://www.cobeans.com/shop/detail.php?pno=540AE6B0F6AC6E155062F3DD4F0B2B01,품종: Heirloom,False,False,False,16.8
247,26 케냐 AA FAQ 워시드,16800,코빈즈커피,케냐,워시드,https://www.cobeans.com/shop/detail.php?pno=4A3E00961A08879C34F91CA0070EA2F5,"품종: SL 28, SL 34, Ruiru 11",False,False,False,16.8
660,HU-05,16800,카페노갈레스,콜롬비아,Washed,https://www.cafenogales.co.kr/product/HU05,품종: 다수 품종 혼합,False,False,False,16.8
61,★세일★ 과테말라 산타로사 SHB,16800,알마씨엘로,과테말라,워시드,https://www.almacielo.com/shop/detail.php?pno=4F398CB9D6BC79AE567298335B51BA8A&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,"품종: BOURBON, CATURRA, CATUAI",False,False,False,16.8
66,★세일★ 엘 살바도르 SHG EP,16800,알마씨엘로,엘살바도르,워시드,https://www.almacielo.com/shop/detail.php?pno=06409663226AF2F3114485AA4E0A23B4&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,품종: BOURBON / CATURRA,False,False,False,16.8
693,부룬디 엔고지 내추럴,16800,로열커피,부룬디,내추럴,https://royalcoffeekorea.co.kr/goods/goods_view.php?goodsNo=1721,품종: 버번,False,False,False,16.8
890,브라질 파젠다 카삼부 내추럴 스페셜티,16800,더블유빈,브라질,Natural,https://www.wbeans.com/goods/goods_view.php?goodsNo=1000007531,품종: Yellow Catuai,False,False,False,16.8
